Id;Designator;Package;Quantity;Designation;Supplier and ref;
1;REF**,REF**,REF**,REF**;fiducial-1mm;4;fiducial-1mm;;;
2;U38,U39;TSSOP-16_4.4x5mm_Pitch0.65mm;2;74HC165;;;
3;U40,U41;TSSOP-16_4.4x5mm_Pitch0.65mm;2;74AC595;;;
4;D73;3MM-LED-C1A2;1;STEP2;;;
5;D74;3MM-LED-C1A2;1;STEP3;;;
6;D75;3MM-LED-C1A2;1;STEP4;;;
7;D76;3MM-LED-C1A2;1;STEP5;;;
8;D77;3MM-LED-C1A2;1;STEP6;;;
9;D78;3MM-LED-C1A2;1;STEP7;;;
10;D79;3MM-LED-C1A2;1;STEP8;;;
11;D86;3MM-LED-C1A2;1;STEP10;;;
12;D87;3MM-LED-C1A2;1;STEP11;;;
13;D88;3MM-LED-C1A2;1;STEP12;;;
14;D89;3MM-LED-C1A2;1;STEP13;;;
15;D90;3MM-LED-C1A2;1;STEP14;;;
16;D91;3MM-LED-C1A2;1;STEP15;;;
17;D92;3MM-LED-C1A2;1;STEP16;;;
18;D93;3MM-LED-C1A2;1;STEP1;;;
19;D94;3MM-LED-C1A2;1;STEP9;;;
20;R483,R482,R481,R480,R479,R478,R477,R476,R475,R474,R473,R472,R471,R470,R469,R468;SM0603-R-JRL;16;470;;;
21;R467,R466,R465,R464,R463,R462,R461,R460,R459,R458,R457,R456,R455,R454,R453,R452,R451;SM0603-R-JRL;17;10K;;;
22;C195,C194,C193,C192;SM0603-C-JRL;4;0.1µ;;;
23;SW38;BF-4050-OMRON;1;STEP16;;;
24;SW37;BF-4050-OMRON;1;STEP15;;;
25;SW36;BF-4050-OMRON;1;STEP14;;;
26;SW35;BF-4050-OMRON;1;STEP13;;;
27;SW34;BF-4050-OMRON;1;STEP12;;;
28;SW33;BF-4050-OMRON;1;STEP11;;;
29;SW32;BF-4050-OMRON;1;STEP10;;;
30;SW31;BF-4050-OMRON;1;STEP9;;;
31;SW30;BF-4050-OMRON;1;STEP8;;;
32;SW29;BF-4050-OMRON;1;STEP7;;;
33;SW28;BF-4050-OMRON;1;STEP6;;;
34;SW27;BF-4050-OMRON;1;STEP5;;;
35;SW26;BF-4050-OMRON;1;STEP4;;;
36;SW25;BF-4050-OMRON;1;STEP3;;;
37;SW24;BF-4050-OMRON;1;STEP2;;;
38;SW23;BF-4050-OMRON;1;STEP1;;;
39;HOLE-M3,HOLE-M3,HOLE-M3;HOLE-M3;3;VAL**;;;
40;SNAP-HOLE-0.125-INCH,SNAP-HOLE-0.125-INCH,SNAP-HOLE-0.125-INCH;SNAP_HOLE_0.125_INCH;3;VAL**;;;
41;P3;Molex_522710479_8_FFC;1;CONN_01X08;;;
42;TP20;TEST_POINT_SMALL;1;CONN_1;;;
