Reference, Value, Footprint, Datasheet
U24,4558,MyModules:TSSOP8-JRL,
D54,1N4148,MyModules:SOD323-C1A2,
Q45,MMBT3904,MyModules:SOT23-132-JRL,
Q46,MMBT3906,MyModules:SOT23-132-JRL,
Q35,MMBT3904,MyModules:SOT23-132-JRL,
R131,100K,MyModules:SM0603-R-JRL,
R128,1meg,MyModules:SM0603-R-JRL,
C29-1,47μ,MyModules:2MM-POL-CAP,
R124,100,MyModules:SM0603-R-JRL,
C202,22p,MyModules:SM0603-C-JRL,
R130,1meg,MyModules:SM0603-R-JRL,
TM4,20K(B),MyModules:Bourns_3362P,
C200,10μ,MyModules:2MM-POL-CAP,
R133,22K,MyModules:SM0603-R-JRL,
C32-1,0.039μ,MyModules:SM0603-C-JRL,
R132,22K,MyModules:SM0603-R-JRL,
C33-1,0.018μ,MyModules:SM0603-C-JRL,
U14,4558,MyModules:TSSOP8-JRL,
C59,0.027μ,MyModules:SM0603-C-JRL,
C58,0.027μ,MyModules:SM0603-C-JRL,
R196,680,MyModules:SM0603-R-JRL,
R197,820K,MyModules:SM0603-R-JRL,
R192,220,MyModules:SM0603-R-JRL,
R189,100K,MyModules:SM0603-R-JRL,
C57,0.0068μ,MyModules:SM0603-C-JRL,
R191,8.2K,MyModules:SM0603-R-JRL,
C61,0.0068μ,MyModules:SM0603-C-JRL,
C60,0.0068μ,MyModules:SM0603-C-JRL,
R195,2.2K,MyModules:SM0603-R-JRL,
R198,1meg,MyModules:SM0603-R-JRL,
R200,47K,MyModules:SM0603-R-JRL,
VR8,100K(B),MyModules:RD901F-ALPHA-POT,
R190,680,MyModules:SM0603-R-JRL,
C63,0.047μ,MyModules:SM0603-C-JRL,
C65,0.047μ,MyModules:SM0603-C-JRL,
R204,100K,MyModules:SM0603-R-JRL,
R205,27K,MyModules:SM0603-R-JRL,
U13,4558,MyModules:TSSOP8-JRL,
R206,47K,MyModules:SM0603-R-JRL,
R210,470K,MyModules:SM0603-R-JRL,
C70,220p,MyModules:SM0603-C-JRL,
VR7,100K(A),MyModules:RD901F-ALPHA-POT,
C68,33μ,MyModules:2MM-POL-CAP,
R207,1K,MyModules:SM0603-R-JRL,
R182,10K,MyModules:SM0603-R-JRL,
R183,4.7K,MyModules:SM0603-R-JRL,
R180,22K,MyModules:SM0603-R-JRL,
R181,10K,MyModules:SM0603-R-JRL,
R199,1K,MyModules:SM0603-R-JRL,
VR9,10K(B),MyModules:RD901F-ALPHA-POT,
Q47,MMBT3904,MyModules:SOT23-132-JRL,
R187,330,MyModules:SM0603-R-JRL,
C55,47μ,MyModules:2MM-POL-CAP,
R193,100,MyModules:SM0603-R-JRL,
C51,0.47μ,MyModules:2MM-POL-CAP,
R184,15K,MyModules:SM0603-R-JRL,
C52,0.1μ,MyModules:SM0603-C-JRL,
R185,15K,MyModules:SM0603-R-JRL,
C66,0.0018μ,MyModules:SM0603-C-JRL,
C53,0.001μ,MyModules:SM0603-C-JRL,
C67,0.0018μ,MyModules:SM0603-C-JRL,
Q48,MMBT3904,MyModules:SOT23-132-JRL,
Q49,MMBT3904,MyModules:SOT23-132-JRL,
C69,0.01μ,MyModules:SM0603-C-JRL,
C54,0.0027μ,MyModules:SM0603-C-JRL,
